GI;ID;Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_zsocred_iBAQ;ZT3_zscore_iBAQ;ZT6_zsocred_iBAQ;ZT9_zscore_iBAQ;ZT12_zsocred_iBAQ;ZT15_zscore_iBAQ;ZT18_zsocred_iBAQ;ZT21_zscore_iBAQ;ZT24_zsocred_iBAQ;ZT27_zscore_iBAQ;ZT30_zsocred_iBAQ;ZT33_zscore_iBAQ;ZT36_zsocred_iBAQ;ZT39_zscore_iBAQ;ZT42_zsocred_iBAQ;ZT45_zscore_iBAQ
gi13385652;GeneID:67427;Rps20;1;0.866497296;19.8;2.4;0.21678103;1.458091877;0.998295455;0.141843249;-0.220230842;-0.514055637;0.434309722;-1.746993821;-0.551260003;0.695654341;-1.260630389;-1.035099313;-1.292510373;0.980649838;0.583761616;0.650172787;0.678001493
gi21536222;GeneID:66481;Rps21;1;0.866497296;25.8;2.4;0.02772811;-0.371056201;2.390555966;-0.622911352;-0.578163397;-0.435606307;-0.463393689;0.133923153;-0.053348173;0.272127872;1.194675262;0.983764232;-0.730829726;0.950892893;-1.531435701;-0.347766109;-0.791428723
gi13195604;GeneID:66475;Rps23;0.547128572;0.010813456;19.8;2.4;0.797953179;0.903771467;0.646487172;-0.410521502;-0.449581438;-1.676856904;-0.893848782;1.0284545;0.852095487;-0.714186767;-0.186990754;-0.802777188;-0.854508736;-0.066556666;-0.048755572;2.202621701;0.471153982
gi46519156;GeneID:20088;Rps24;1;1;25.8;5.4;1.027505704;1.769081908;0.081781241;0.532388405;0.781683741;-1.259507121;-0.35779958;-0.604642366;-0.942986228;-1.625092414;-0.806556541;0.071270979;-0.332465375;0.69668549;0.86448834;1.493164179;-0.361494658
gi28372479;GeneID:75617;Rps25;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi255003793;GeneID:27370;Rps26;1;1;25.8;18.3;1.10191635;-1.326858567;-1.372251893;-0.276923697;-0.233296525;0.202062278;0.729060966;1.309079397;0.969128041;0.590587245;-0.997634996;1.352382781;-1.538130029;-0.398798013;1.087757782;0.190944049;-0.287108818
gi76443694;GeneID:78294;Rps27A;1;1;25.8;15.3;1.0961219;-1.059140095;-0.714361789;-1.006970474;0.517095172;1.091571851;-0.411774543;-0.065992827;1.649572705;-1.153054124;-0.073091569;0.505909481;-1.095967973;1.360261541;-1.080391658;0.839981031;0.696353272
gi13385958;GeneID:67941;Rps27L;1;1;19.8;15.3;0.536125012;0.769015464;0.101228685;-2.054756726;0.119588134;0.666774718;0.032720997;1.090902995;-0.725474266;0.005949772;2.014800952;-0.493818567;-0.849784618;0.933610292;-0.814691895;-0.150707772;-0.645358162
gi21426821;GeneID:54127;Rps28;1;1;25.8;12.9;0.51741107;-1.41461113;0.448403171;-1.294966582;1.271996844;0.576491968;-0.713264586;0.444814011;0.681136304;-0.424985772;1.90334109;-0.755737104;-0.339583292;0.931683486;-0.447746973;0.296546199;-1.163517635
gi6677803;GeneID:20090;Rps29;1;1;22.8;2.4;0.664547837;-1.338464283;1.112442256;1.213867929;-1.080888853;-0.937632126;0.287678555;0.585103805;0.157892718;0.66356677;1.292648758;0.253068054;-1.077192876;1.002159819;0.159006502;-1.197761332;-1.095495695
gi6755372;GeneID:27050;Rps3;1;1;19.8;0;0.91223821;-1.03513765;0.801663325;-0.552787933;0.157528206;-1.560832489;-0.014550106;0.889971708;1.314144939;0.339602934;0.175733574;-0.617139543;-1.088815824;2.196007534;-0.04408823;-0.502608234;-0.458692212
gi254553321;GeneID:20091;Rps3A;1;1;25.8;12.9;0.91911665;-1.139944323;-0.063589415;-0.946714123;0.905918124;0.558627207;1.753362968;-0.641609138;-0.426051298;-0.022931475;-0.01127756;0.240000631;-1.052160952;-1.236226907;2.025880791;0.34509558;-0.288380108
gi6677805;GeneID:20102;Rps4X;1;1;25.8;15.3;0.481651267;-2.037636478;0.027607199;0.193723736;0.873144847;0.600219919;-0.931762172;0.694299319;0.58040363;-0.356205417;-0.181607797;0.255722218;-1.996921459;0.979036446;0.546543095;-0.412585401;1.166018315
gi254675270;GeneID:20103;Rps5;1;1;19.8;2.4;0.482316256;-1.047216943;0.893001328;-0.080833513;0.472327817;0.138014145;-1.861860675;1.121267141;0.365300701;0.11550583;0.194597526;-1.493448985;0.846023112;-1.063721804;1.343705389;-0.700697762;0.758036694
